domain,page,page_title,visits TS1528824914.80682,pageviews TS1528824914.80682,users TS1528824914.80682,pageviews_per_session TS1528824914.80682,avg_session_duration TS1528824914.80682,exits TS1528824914.80682,active_visitors TS1528824914.80682,visits TS1528824916.972721,pageviews TS1528824916.972721,users TS1528824916.972721,pageviews_per_session TS1528824916.972721,avg_session_duration TS1528824916.972721,exits TS1528824916.972721,active_visitors TS1528824916.972721
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5834/,Burro Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,30.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,30
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/article/5822/43203/,"June 12, 2018 416 Fire Update - InciWeb the Incident Information System",841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,25.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,25
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5835/,Bocco Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,23.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,23
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5836,Badger Creek Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,21.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,21
inciweb.nwcg.gov,inciweb.nwcg.gov/incident/5830/,Trail Mountain Fire Information - InciWeb the Incident Information System,841409,1880541,399497,2.2349903554632764,122.50514197019524,842334,15.0,841409,1880541,399497,2.2349903554632764,122.50514197019523,842334,15
fsis.usda.gov,fsis.usda.gov/wps/portal/fsis/home,USDA Food Safety and Inspection Service,644556,1089187,392745,1.689825244043962,129.72684452553386,643612,68.0,644556,1089187,392745,1.689825244043962,129.72684452553386,643612,68
fsis.usda.gov,fsis.usda.gov/wps/portal/fsis/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2018/recall-047-2018-release,Tyson Foods Inc. Recalls Breaded Chicken Products Due to Possible Foreign Matter Contamination,644556,1089187,392745,1.689825244043962,129.72684452553386,643612,21.0,644556,1089187,392745,1.689825244043962,129.72684452553386,643612,21
nrcs.usda.gov,nrcs.usda.gov/wps/portal/nrcs/asl/national/people/employee/,NRCS Employees | NRCS,614608,1336928,257878,2.1752531694999093,257.61939154713247,609872,64.0,614608,1336928,257878,2.175253169499909,257.61939154713247,609872,64
fs.fed.us,fs.fed.us/,US Forest Service,572951,1172852,460151,2.0470371811900145,105.62777619726644,571693,30.0,572951,1172852,460151,2.0470371811900145,105.62777619726643,571693,30
aphis.usda.gov,aphis.usda.gov/aphis/home/,USDA APHIS | Home Landing Page,478057,1366543,260282,2.8585356976260154,222.98847836136696,473192,30.0,478057,1366543,260282,2.8585356976260154,222.98847836136696,473192,30
