domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
nrs.fs.fed.us,22179,65630,17665,2.9591054601199334,134.96906984084043,22345
fsweb.wo.fs.fed.us,21790,82500,7899,3.786140431390546,419.3370353373107,21642
newfarmers.usda.gov,17221,47447,14909,2.755182625863771,224.82747807908947,15908
fam.nwcg.gov,14835,239361,4014,16.134883720930233,487.28311425682506,15205
psgeodata.fs.fed.us,14373,68534,5753,4.768246016837125,2121.498434564809,14410
agcensus.usda.gov,14354,37014,12246,2.578654033718824,194.95102410477915,14354
gipsa.usda.gov,13041,36422,7621,2.7928839812897785,220.27283183804923,13022
nhc.fns.usda.gov,9896,12246,8546,1.2374696847210995,24.95594179466451,10026
fpl.fs.fed.us,7825,18091,6715,2.3119488817891374,94.52664536741214,7769
search.ers.usda.gov,7621,10044,4476,1.3179372785723658,46.52001049731006,6493
search.invasivespeciesinfo.gov,7436,9545,4088,1.2836202259279181,35.03536847767617,6826
inside.fsis.usda.gov,7122,18942,2664,2.6596461668070766,304.40325751193484,6511
phytochem.nal.usda.gov,5956,50055,2775,8.404130288784419,478.892881128274,5993
dm.usda.gov,5864,10359,5512,1.7665416098226467,120.50068212824011,5919
rossweb.nwcg.gov,5697,10747,3774,1.8864314551518342,102.70703879234685,5864
data.nal.usda.gov,5013,13966,5068,2.7859565130660284,116.89447436664672,5087
ocfo.usda.gov,4217,7270,2682,1.723974389376334,159.90040313018733,3589
i5k.nal.usda.gov,4088,16611,3755,4.063356164383562,55.620107632093934,4125
outreach.usda.gov,3737,11654,3515,3.1185442868611184,101.02756221568103,3663
nass.usda.gov,3589,7547,2571,2.102814154360546,133.52521593758706,3866
digitop.nal.usda.gov,3330,7085,1221,2.1276276276276276,272.6342342342342,3681
ethics.usda.gov,2793,5808,2405,2.079484425349087,125.15968492660222,2719
lovingsupport.fns.usda.gov,2627,9526,2035,3.6261895698515416,234.31023981728208,2571
ewebapp.rma.usda.gov,1517,3848,1165,2.5365853658536586,94.24456163480554,1720
empowhr.gov,1461,2349,740,1.6078028747433264,82.71457905544148,1461
specialcollections.nal.usda.gov,1461,3108,1535,2.127310061601643,151.07186858316223,1332
srs.fs.fed.us,1276,2201,740,1.724921630094044,132.67398119122257,1313
rossinstaller.nwcg.gov,1258,2978,1128,2.3672496025437204,109.70747217806041,1239
agclass.nal.usda.gov,1239,2645,1017,2.134786117836965,152.64003228410007,1313
training.ars-grin.gov,1091,6363,703,5.8322639780018335,203.64527956003667,1073
wfdss-qa.nwcg.gov,1073,2146,388,2.0,322.11649580615097,1073
wfmrda.nwcg.gov,1054,2553,888,2.4222011385199242,189.926944971537,999
sawti.fs.fed.us,1036,1258,666,1.2142857142857142,8.32046332046332,1017
lcacommons.gov,1017,7214,832,7.093411996066863,240.9803343166175,1017
dev-cms.fs.usda.gov,980,37643,92,38.41122448979592,2323.24693877551,1017
